PANTONENAME,UNIQUECODE,R,G,B
2317 C,10855,180,135,94
2318 C,10856,162,116,73
2319 C,10857,139,93,49
232 C,10858,231,63,172
2320 C,10859,113,73,37
2321 C,10860,109,81,57
2322 C,10861,77,54,37
2323 C,10862,180,177,153
2324 C,10863,179,164,133
2325 C,10864,159,145,117
2326 C,10865,139,125,96
2327 C,10866,129,121,89
2328 C,10867,120,104,75
2329 C,10868,102,87,59
233 C,10869,197,8,127
2330 C,10870,205,204,200
2331 C,10871,173,167,167
2332 C,10872,138,137,133
2333 C,10873,114,111,108
2334 C,10874,106,100,98
2335 C,10875,93,79,71
2336 C,10876,78,75,72
2337 C,10877,247,193,185
2338 C,10878,222,165,158
2339 C,10879,237,149,147
234 C,10880,162,4,105
2340 C,10881,204,111,119
2341 C,10882,179,109,112
2342 C,10883,179,91,101
2343 C,10884,166,86,103
2344 C,10885,239,127,111
2345 C,10886,253,111,106
2346 C,10887,254,90,107
2347 C,10888,225,5,2
2348 C,10889,227,84,77
2349 C,10890,202,56,6
235 C,10891,131,11,86
2350 C,10892,174,35,27
2351 C,10893,187,123,179
2352 C,10894,180,102,167
2353 C,10895,190,79,166
2354 C,10896,146,80,142
2355 C,10897,134,6,123
2356 C,10898,112,3,98
2357 C,10899,97,20,69
2358 C,10900,170,164,175
2359 C,10901,126,115,134
236 C,10902,241,167,221
2360 C,10903,121,123,145
2361 C,10904,110,112,141
2362 C,10905,107,107,132
2363 C,10906,97,94,118
2364 C,10907,101,91,109
2365 C,10908,235,186,226
2366 C,10909,104,108,206
2367 C,10910,78,76,177
2368 C,10911,76,73,191
2369 C,10912,59,64,183
237 C,10913,234,135,208
2370 C,10914,47,42,149
2371 C,10915,49,8,142
2372 C,10916,38,30,120
2373 C,10917,112,131,160
2374 C,10918,76,96,128
2375 C,10919,225,120,206
2376 C,10920,77,91,114
2377 C,10921,45,85,111
2378 C,10922,55,74,104
2379 C,10923,58,69,88
238 C,10924,226,94,192
2380 C,10925,39,51,74
2381 C,10926,93,148,222
2382 C,10927,0,137,216
2383 C,10928,34,118,177
2384 C,10929,0,97,160
2385 C,10930,210,58,179
2386 C,10931,36,105,196
2387 C,10932,6,99,201
2388 C,10933,0,80,180
2389 C,10934,77,160,201
239 C,10935,218,64,178
2390 C,10936,2,123,171
2391 C,10937,0,128,167
2392 C,10938,8,103,133
2393 C,10939,0,145,203
2394 C,10940,0,139,205
2395 C,10941,196,4,160
2396 C,10942,0,154,180
2397 C,10943,0,182,191
2398 C,10944,0,186,182
2399 C,10945,0,172,160
240 C,10946,196,44,156
2400 C,10947,0,176,150
2401 C,10948,49,167,154
2402 C,10949,0,158,134
2403 C,10950,0,138,124
2404 C,10951,163,185,157
2405 C,10952,175,3,142
2406 C,10953,128,157,135
2407 C,10954,107,143,118
2408 C,10955,70,123,85
2409 C,10956,76,101,74
241 C,10957,173,23,132
2410 C,10958,67,91,63
2411 C,10959,27,67,35
2412 C,10960,69,214,152
2413 C,10961,50,184,145
2414 C,10962,0,189,129
2415 C,10963,159,3,127
2416 C,10964,0,178,118
2417 C,10965,32,156,107
2418 C,10966,0,135,63
2419 C,10967,0,125,91
242 C,10968,127,35,96
2420 C,10969,0,197,96
2421 C,10970,42,182,3
2422 C,10971,0,168,45
2423 C,10972,0,171,25
2424 C,10973,37,158,1
2425 C,10974,129,5,102
2426 C,10975,0,142,22
2427 C,10976,0,96,31
2428 C,10977,221,137,46
2429 C,10978,194,94,29
243 C,10979,231,184,227
2430 C,10980,214,162,122
2431 C,10981,223,147,86
2432 C,10982,220,140,89
2433 C,10983,218,123,80
2434 C,10984,227,122,96
2435 C,10985,192,112,91
2436 C,10986,180,84,62
2437 C,10987,244,192,162
2438 C,10988,225,161,132
2439 C,10989,195,135,116
244 C,10990,229,155,221
2440 C,10991,181,147,140
2441 C,10992,165,110,94
2442 C,10993,159,97,87
2443 C,10994,141,58,33
2444 C,10995,220,165,156
2445 C,10996,219,137,142
2446 C,10997,207,135,142
2447 C,10998,175,111,120
2448 C,10999,218,98,84
2449 C,11000,70,36,40
245 C,11001,220,128,212
2450 C,11002,215,70,136
2451 C,11003,181,67,113
